obra,codigo,material,numero_cargado_hoy_NO_FIABLE,conteo_fisico_real,unidad_del_conteo
2502,020417,"ALCAYATA ESTRIADA 1 1/2"" (3.5 x 40mm) 500gr",661,,
2502,020419,"ALCAYATA ESTRIADA 2"" (3.7 x 50mm) 500gr",20,,
2502,020442,"CLAVO DE ACERO ESTRIADO VERTICAL 1 1/2"" (2.7 x 40mm) Cja x 500gr",33,,
2502,020443,"CLAVO DE ACERO ESTRIADO VERTICAL 2"" (3.5 x 50mm) Cja x 500gr",88,,
2502,020447,"CLAVO DE ACERO ESTRIADO VERTICAL 4"" (4.3 x 100mm) Cja x 500gr",54,,
2502,370615,ESPONJA ALAMBRADA X 10UND,5,,
2503,020417,"ALCAYATA ESTRIADA 1 1/2"" (3.5 x 40mm) 500gr",508,,
2503,020443,"CLAVO DE ACERO ESTRIADO VERTICAL 2"" (3.5 x 50mm) Cja x 500gr",232,,
2503,020446,"CLAVO DE ACERO ESTRIADO VERTICAL 3"" (4.3 x 75mm) Cja x 500gr",120,,
